Process,0,1,2,3,specificity
GOBP_PEPTIDE_ANTIGEN_ASSEMBLY_WITH_MHC_CLASS_II_PROTEIN_COMPLEX,-23.39,-22.83,11.63,43.76,32.13
GOBP_CYTOPLASMIC_TRANSLATION,6.32,15.21,-19.29,42.58,27.37
GOBP_PEPTIDE_ANTIGEN_ASSEMBLY_WITH_MHC_PROTEIN_COMPLEX,-21.73,-21.27,11.74,40.22,28.48
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_II,-19.86,-20.93,13.04,34.76,21.73
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II,-18.53,-19.12,12.56,31.84,19.29
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN,-20.17,-19.98,14.83,31.65,16.82
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN,-19.22,-18.81,14.39,29.27,14.88
GOBP_PEPTIDE_BIOSYNTHETIC_PROCESS,4.23,9.51,-5.11,29.06,19.55
GOBP_PEPTIDE_METABOLIC_PROCESS,3.35,8.83,-3.95,28.43,19.6
GOBP_AMIDE_BIOSYNTHETIC_PROCESS,4.46,9.16,-4.39,27.0,17.84
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN,-17.98,-17.4,14.65,25.91,11.26
GOBP_AMIDE_METABOLIC_PROCESS,3.42,7.54,-2.18,25.58,18.04
GOBP_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS,4.31,9.16,-3.37,24.1,14.94
GOBP_ORGANONITROGEN_COMPOUND_BIOSYNTHETIC_PROCESS,4.73,7.3,-0.88,23.88,16.59
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION,-17.06,-15.65,15.19,22.94,7.74
GOBP_IMMUNOGLOBULIN_PRODUCTION_INVOLVED_IN_IMMUNOGLOBULIN_MEDIATED_IMMUNE_RESPONSE,-10.82,-8.14,5.92,19.2,13.29
GOBP_DENDRITIC_CELL_ANTIGEN_PROCESSING_AND_PRESENTATION,-11.98,-10.09,7.34,19.03,11.69
GOBP_B_CELL_MEDIATED_IMMUNITY,-11.58,-10.28,8.76,18.64,9.88
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS,5.81,4.85,0.51,17.22,11.41
GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS,-14.3,-8.0,10.78,16.7,5.92
GOBP_PROTEIN_CONTAINING_COMPLEX_ORGANIZATION,1.29,1.29,6.93,16.2,9.27
GOBP_IMMUNOGLOBULIN_PRODUCTION,-9.2,-6.16,6.2,16.05,9.85
GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE,-12.72,-5.87,8.57,15.7,7.13
GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY,-12.15,-8.73,10.3,15.59,5.29
GOBP_POSITIVE_REGULATION_OF_MONOCYTE_DIFFERENTIATION,-10.1,-5.78,4.47,15.48,11.01
