Process,0,1,2,3,specificity
GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION,-16.81,-14.62,28.63,-6.42,35.04
GOBP_NEGATIVE_REGULATION_OF_VIRAL_PROCESS,-19.05,-14.13,28.21,-2.76,30.97
GOBP_DEFENSE_RESPONSE_TO_SYMBIONT,-18.78,-10.09,27.01,-0.49,27.5
GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM,-22.56,-8.86,26.9,9.59,17.31
GOBP_INNATE_IMMUNE_RESPONSE,-20.81,-9.41,26.48,8.39,18.09
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS,-22.89,-7.73,26.27,12.97,13.3
GOBP_RESPONSE_TO_VIRUS,-18.42,-8.43,25.39,2.36,23.03
GOBP_DEFENSE_RESPONSE,-23.47,-8.03,25.28,11.64,13.64
GOBP_IMMUNE_RESPONSE,-23.24,-8.16,24.63,13.73,10.9
GOBP_REGULATION_OF_VIRAL_PROCESS,-18.55,-11.32,23.65,3.26,20.39
GOBP_REGULATION_OF_VIRAL_GENOME_REPLICATION,-15.01,-9.11,22.48,-2.9,25.37
GOBP_RESPONSE_TO_TYPE_I_INTERFERON,-12.56,-9.24,21.36,-3.84,25.2
GOBP_RESPONSE_TO_INTERFERON_BETA,-11.72,-11.93,20.33,-3.25,23.58
GOBP_VIRAL_GENOME_REPLICATION,-12.7,-6.78,19.21,0.02,19.2
GOBP_VIRAL_LIFE_CYCLE,-14.42,-7.88,18.93,4.64,14.29
GOBP_INTERFERON_MEDIATED_SIGNALING_PATHWAY,-11.28,-7.97,18.57,-2.23,20.8
GOBP_REGULATION_OF_IMMUNE_RESPONSE,-17.83,-5.66,18.06,12.93,5.13
GOBP_VIRAL_PROCESS,-13.7,-5.44,17.93,6.75,11.18
GOBP_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS,-15.51,-3.96,17.57,7.04,10.54
GOBP_NEGATIVE_REGULATION_OF_VIRAL_LIFE_CYCLE,-11.29,-10.95,17.11,-0.74,17.86
GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE,-14.54,-3.54,17.02,5.5,11.52
GOBP_RESPONSE_TO_CYTOKINE,-15.65,-3.32,16.23,8.52,7.72
GOBP_REGULATION_OF_DEFENSE_RESPONSE,-15.52,-3.47,16.19,6.99,9.2
GOBP_NEGATIVE_REGULATION_OF_VIRAL_ENTRY_INTO_HOST_CELL,-10.11,-10.24,15.97,-1.71,17.68
GOBP_POSITIVE_REGULATION_OF_IMMUNE_RESPONSE,-16.43,-5.16,15.87,12.84,3.04
